QuarterYear,Shipments,Quarter,Year,Date
Q1-1985,4009,1,1985,01-01-1985
Q1-1986,4123,1,1986,01-01-1986
Q1-1987,4493,1,1987,01-01-1987
Q1-1988,4595,1,1988,01-01-1988
Q1-1989,4245,1,1989,01-01-1989
Q2-1985,4321,2,1985,01-02-1985
Q2-1986,4522,2,1986,01-02-1986
Q2-1987,4806,2,1987,01-02-1987
Q2-1988,4799,2,1988,01-02-1988
Q2-1989,4900,2,1989,01-02-1989
Q3-1985,4224,3,1985,01-03-1985
Q3-1986,4657,3,1986,01-03-1986
Q3-1987,4551,3,1987,01-03-1987
Q3-1988,4417,3,1988,01-03-1988
Q3-1989,4585,3,1989,01-03-1989
Q4-1985,3944,4,1985,01-04-1985
Q4-1986,4030,4,1986,01-04-1986
Q4-1987,4485,4,1987,01-04-1987
Q4-1988,4258,4,1988,01-04-1988
Q4-1989,4533,4,1989,01-04-1989
